"Source","Date","District","NewCases","TotalConfirmedCases"
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-30-Jan.jpeg",2025-01-30,"Port Loko",NA,1
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-30-Jan.jpeg",2025-01-30,"Pujehun",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-30-Jan.jpeg",2025-01-30,"Tonkolili",NA,3
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-30-Jan.jpeg",2025-01-30,"Western rural",NA,2
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-30-Jan.jpeg",2025-01-30,"Western urban",NA,4
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-31-Jan.jpeg",2025-01-31,"Bo",NA,2
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-31-Jan.jpeg",2025-01-31,"Bonthe",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-31-Jan.jpeg",2025-01-31,"Bombali",NA,2
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-31-Jan.jpeg",2025-01-31,"Falaba",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-31-Jan.jpeg",2025-01-31,"Kailahun",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-31-Jan.jpeg",2025-01-31,"Kambia",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-31-Jan.jpeg",2025-01-31,"Karene",NA,1
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-31-Jan.jpeg",2025-01-31,"Kono",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-31-Jan.jpeg",2025-01-31,"Kenema",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-31-Jan.jpeg",2025-01-31,"Koinadugu",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-31-Jan.jpeg",2025-01-31,"Moyamba",NA,2
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-31-Jan.jpeg",2025-01-31,"Port Loko",NA,1
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-31-Jan.jpeg",2025-01-31,"Pujehun",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-31-Jan.jpeg",2025-01-31,"Tonkolili",NA,3
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-31-Jan.jpeg",2025-01-31,"Western rural",NA,2
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-31-Jan.jpeg",2025-01-31,"Western urban",NA,4
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-1-Feb.jpeg",2025-02-01,"Bo",NA,2
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-1-Feb.jpeg",2025-02-01,"Bonthe",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-1-Feb.jpeg",2025-02-01,"Bombali",NA,2
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-1-Feb.jpeg",2025-02-01,"Falaba",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-1-Feb.jpeg",2025-02-01,"Kailahun",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-1-Feb.jpeg",2025-02-01,"Kambia",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-1-Feb.jpeg",2025-02-01,"Karene",NA,1
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-1-Feb.jpeg",2025-02-01,"Kono",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-1-Feb.jpeg",2025-02-01,"Kenema",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-1-Feb.jpeg",2025-02-01,"Koinadugu",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-1-Feb.jpeg",2025-02-01,"Moyamba",NA,2
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-1-Feb.jpeg",2025-02-01,"Port Loko",NA,1
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-1-Feb.jpeg",2025-02-01,"Pujehun",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-1-Feb.jpeg",2025-02-01,"Tonkolili",NA,3
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-1-Feb.jpeg",2025-02-01,"Western rural",NA,2
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-1-Feb.jpeg",2025-02-01,"Western urban",NA,4
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-2-Feb.jpeg",2025-02-02,"Bo",NA,2
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-2-Feb.jpeg",2025-02-02,"Bonthe",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-2-Feb.jpeg",2025-02-02,"Bombali",NA,2
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-2-Feb.jpeg",2025-02-02,"Falaba",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-2-Feb.jpeg",2025-02-02,"Kailahun",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-2-Feb.jpeg",2025-02-02,"Kambia",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-2-Feb.jpeg",2025-02-02,"Karene",NA,1
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-2-Feb.jpeg",2025-02-02,"Kono",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-2-Feb.jpeg",2025-02-02,"Kenema",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-2-Feb.jpeg",2025-02-02,"Koinadugu",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-2-Feb.jpeg",2025-02-02,"Moyamba",NA,2
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-2-Feb.jpeg",2025-02-02,"Port Loko",NA,1
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-2-Feb.jpeg",2025-02-02,"Pujehun",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-2-Feb.jpeg",2025-02-02,"Tonkolili",NA,3
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-2-Feb.jpeg",2025-02-02,"Western rural",NA,2
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-2-Feb.jpeg",2025-02-02,"Western urban",NA,4
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-3-Feb.jpeg",2025-02-03,"Bo",NA,2
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-3-Feb.jpeg",2025-02-03,"Bonthe",NA,0
"https://github.com/fbranda/ADAMS/blob/main/bulletins/2025/sierra-leone/bulletins/npha-mpox-3-Feb.jpeg",2025-02-03,"Bombali",NA,2
